,season,bowler,wickets
516,2012,Iqbal Abdulla,4
704,2013,S Kaul,4
737,2014,BE Hendricks,4
80,2008,ST Jayasuriya,4
753,2014,JA Morkel,4
756,2014,JH Kallis,4
410,2011,P Parameswaran,4
1081,2017,KC Cariappa,4
288,2010,R McLaren,4
619,2013,B Lee,4
1337,2019,VR Aaron,4
110,2009,AM Nayar,4
404,2011,MS Gony,4
1170,2018,DT Christian,4
1169,2018,DS Kulkarni,4
106,2009,AB Dinda,4
146,2009,KP Pietersen,4
789,2014,PP Ojha,4
301,2010,S Sreesanth,4
380,2011,JD Ryder,4
1044,2017,AS Rajpoot,4
777,2014,MC Henriques,4
156,2009,MF Maharoof,4
632,2013,DP Nannes,4
1056,2017,C de Grandhomme,4
1338,2019,Washington Sundar,4
299,2010,S Ladda,4
152,2009,M Kartik,4
1188,2018,KV Sharma,4
453,2011,TG Southee,4
764,2014,KK Cooper,4
1191,2018,L Plunkett,4
1125,2017,STR Binny,4
359,2011,Bipul Sharma,4
1302,2019,P Krishna,4
1150,2018,Avesh Khan,4
141,2009,JP Duminy,4
13,2008,B Lee,4
112,2009,AM Salvi,4
31,2008,Gagandeep Singh,3
23,2008,DJ Thornely,3
829,2015,A Ashish Reddy,3
854,2015,DW Steyn,3
1299,2019,N Rana,3
296,2010,RR Powar,3
858,2015,Gurkeerat Singh,3
1303,2019,P Negi,3
817,2014,Shivam Sharma,3
837,2015,Ankit Sharma,3
784,2014,P Kumar,3
1292,2019,MJ McClenaghan,3
275,2010,MM Patel,3
1291,2019,M Ur Rahman,3
843,2015,Bipul Sharma,3
267,2010,LR Shukla,3
814,2014,STR Binny,3
265,2010,L Ablish,3
264,2010,Kamran Khan,3
1107,2017,R Tewatia,3
121,2009,CK Langeveldt,3
287,2010,R Bhatia,3
263,2010,KP Pietersen,3
150,2009,LR Shukla,3
255,2010,JM Kemp,3
1007,2016,R Vinay Kumar,3
72,2008,SB Styris,3
194,2009,T Thushara,3
1204,2018,Mohammed Shami,3
188,2009,SM Harwood,3
995,2016,NM Coulter-Nile,3
1202,2018,MP Stoinis,3
998,2016,P Sahu,3
1085,2017,LH Ferguson,3
1193,2018,M Ashwin,3
1192,2018,M Ali,3
88,2008,V Sehwag,3
1131,2017,TG Southee,3
1009,2016,RP Singh,3
1187,2018,KM Asif,3
96,2008,Yuvraj Singh,3
1025,2016,T Shamsi,3
1160,2018,CJ Anderson,3
1041,2017,AF Milne,3
1159,2018,CH Morris,3
1055,2017,Bipul Sharma,3
1069,2017,HV Patel,3
1058,2017,CJ Anderson,3
1146,2018,AR Patel,3
975,2016,KC Cariappa,3
138,2009,JD Ryder,3
961,2016,I Sharma,3
870,2015,JA Morkel,3
872,2015,JJ Bumrah,3
875,2015,KA Pollard,3
37,2008,JDP Oram,3
45,2008,M Kartik,3
231,2010,Bipul Sharma,3
1244,2019,AS Rajpoot,3
1242,2019,AJ Tye,3
1240,2019,A Singh,3
223,2010,AG Murtaza,3
1065,2017,DS Kulkarni,3
923,2015,VR Aaron,3
133,2009,Harmeet Singh,3
66,2008,RR Powar,3
936,2016,AS Rajpoot,3
1221,2018,S Nadeem,3
136,2009,J Botha,3
942,2016,Bipul Sharma,3
202,2009,WA Mota,3
950,2016,DJ Hooda,3
958,2016,HH Pandya,3
117,2009,BAW Mendis,3
670,2013,MM Patel,3
626,2013,CH Gayle,3
762,2014,K Santokie,3
590,2012,VY Mahesh,3
419,2011,R Ninan,3
355,2011,B Kumar,3
563,2012,RJ Peterson,3
697,2013,RE van der Merwe,3
503,2012,DJ Hussey,3
319,2010,TM Dilshan,3
475,2012,AB Agarkar,3
499,2012,DAJ Bracewell,3
478,2012,AC Thomas,3
694,2013,R Shukla,3
579,2012,STR Binny,3
653,2013,JJ Bumrah,3
386,2011,JJ van der Wath,3
759,2014,JP Duminy,3
569,2012,S Dhawan,3
748,2014,I Sharma,3
372,2011,Harmeet Singh,3
741,2014,DJG Sammy,3
348,2011,AM Salvi,3
666,2013,M Muralitharan,3
732,2014,AN Ahmed,3
594,2012,YK Pathan,3
612,2013,AN Ahmed,3
648,2013,J Syed Mohammad,3
609,2013,AG Murtaza,3
526,2012,JP Faulkner,3
773,2014,M Muralitharan,3
352,2011,Anand Rajan,3
539,2012,M de Lange,3
322,2010,V Sehwag,3
344,2011,AG Murtaza,3
384,2011,JEC Franklin,3
690,2013,R McLaren,3
596,2013,A Ashish Reddy,3
543,2012,MS Gony,3
487,2012,Anand Rajan,3
540,2012,MJ Clarke,2
1179,2018,J Searles,2
408,2011,NLTC Perera,2
83,2008,Shoaib Malik,2
1074,2017,Iqbal Abdulla,2
74,2008,SD Chitnis,2
1214,2018,R Vinay Kumar,2
560,2012,RE van der Merwe,2
98,2009,A Flintoff,2
229,2010,BAW Mendis,2
977,2016,KJ Abbott,2
94,2008,Y Venugopal Rao,2
87,2008,V Kohli,2
1198,2018,MG Johnson,2
621,2013,BAW Mendis,2
1185,2018,K Khejroliya,2
240,2010,DL Vettori,2
145,2009,KP Appanna,2
230,2010,BJ Hodge,2
775,2014,M de Lange,2
1165,2018,D Willey,2
944,2016,CH Gayle,2
215,2010,A Uniyal,2
347,2011,AM Nayar,2
346,2011,AL Menaria,2
689,2013,R Dhawan,2
129,2009,DW Steyn,2
1111,2017,RD Chahar,2
204,2009,Y Nagar,2
1129,2017,T Natarajan,2
1108,2017,R Vinay Kumar,2
1106,2017,R Bhatia,2
1093,2017,MP Stoinis,2
1095,2017,Mohammad Nabi,2
957,2016,Gurkeerat Singh,2
200,2009,VS Malik,2
966,2016,J Yadav,2
967,2016,JA Morkel,2
143,2009,Joginder Sharma,2
973,2016,JW Hastings,2
572,2012,SC Ganguly,2
573,2012,SK Raina,2
1158,2018,C de Grandhomme,2
910,2015,SK Raina,2
429,2011,RR Powar,2
1156,2018,BCJ Cutting,2
972,2016,JP Faulkner,2
1132,2017,TM Head,2
114,2009,Anureet Singh,2
971,2016,JP Duminy,2
970,2016,JO Holder,2
119,2009,C Nanda,2
614,2013,Anand Rajan,2
924,2015,YK Pathan,2
400,2011,M Muralitharan,2
611,2013,AM Nayar,2
22,2008,DJ Hussey,2
1324,2019,S Warrier,2
1005,2016,R Dhawan,2
292,2010,RE van der Merwe,2
1046,2017,Ankit Soni,2
654,2013,JO Holder,2
1294,2019,MP Stoinis,2
456,2011,UT Yadav,2
1017,2016,SM Boland,2
457,2011,V Kohli,2
8,2008,AD Mascarenhas,2
276,2010,MR Marsh,2
763,2014,KA Pollard,2
458,2011,VR Aaron,2
289,2010,R Sathish,2
18,2008,D Kalyankrishna,2
1050,2017,B Stanlake,2
1308,2019,R Parag,2
1310,2019,R Tewatia,2
165,2009,Pankaj Singh,2
166,2009,R Ashwin,2
805,2014,S Kaul,2
1014,2016,S Nadeem,2
803,2014,S Badree,2
11,2008,B Akhil,2
1318,2019,S Kuggeleijn,2
285,2010,Pankaj Singh,2
1321,2019,S Nadeem,2
798,2014,R Tewatia,2
797,2014,R Shukla,2
1285,2019,L Ferguson,2
24,2008,DL Vettori,2
1015,2016,SB Jakati,2
1331,2019,Shakib Al Hasan,2
1030,2016,VR Aaron,2
782,2014,NM Coulter-Nile,2
722,2013,VS Malik,2
1062,2017,DJ Hooda,2
519,2012,J Theron,2
1021,2016,Sachin Baby,2
53,2008,Mohammad Hafeez,2
986,2016,MG Johnson,2
856,2015,GJ Maxwell,2
48,2008,MA Khote,2
505,2012,DR Smith,2
314,2010,ST Jayasuriya,2
293,2010,RG Sharma,2
869,2015,J Yadav,2
258,2010,Joginder Sharma,2
1265,2019,HV Patel,2
155,2009,MC Henriques,2
367,2011,DP Nannes,2
1272,2019,J Suchith,2
662,2013,LJ Wright,2
492,2012,BA Bhatt,2
660,2013,KW Richardson,2
633,2013,DR Smith,2
740,2014,DJ Hussey,2
183,2009,SC Ganguly,2
25,2008,DNT Zoysa,2
1064,2017,DR Smith,2
1090,2017,MM Patel,1
642,2013,Harmeet Singh (2),1
1031,2016,YK Pathan,1
644,2013,IC Pandey,1
625,2013,Bipul Sharma,1
613,2013,AS Rajpoot,1
1088,2017,MJ Henry,1
1039,2017,AB Dinda,1
1086,2017,MC Henriques,1
638,2013,GH Vihari,1
624,2013,BMAJ Mendis,1
1048,2017,Avesh Khan,1
1053,2017,BCJ Cutting,1
618,2013,B Laughlin,1
382,2011,JDP Oram,1
620,2013,BA Bhatt,1
628,2013,CL White,1
1060,2017,CR Brathwaite,1
610,2013,AJ Finch,1
149,2009,LA Carseldine,1
1063,2017,DL Chahar,1
405,2011,ND Doshi,1
1099,2017,NB Singh,1
1273,2019,J Yadav,1
483,2012,AL Menaria,1
1289,2019,M Markande,1
1283,2019,KV Sharma,1
1278,2019,K Khejroliya,1
1277,2019,K Gowtham,1
455,2011,TM Dilshan,1
493,2012,BJ Hodge,1
1234,2018,YK Pathan,1
497,2012,CJ McKay,1
449,2011,SS Mundhe,1
1250,2019,BCJ Cutting,1
1245,2019,Ankit Sharma,1
511,2012,GJ Maxwell,1
1239,2019,A Roy,1
481,2012,AD Russell,1
1293,2019,MM Sharma,1
20,2008,DB Ravi Teja,1
19,2008,D Salunkhe,1
1305,2019,P Raj,1
14,2008,BAW Mendis,1
474,2012,AA Jhunjhunwala,1
12,2008,B Geeves,1
1322,2019,S Rutherford,1
9,2008,AM Nayar,1
5,2008,AA Noffke,1
1330,2019,STR Binny,1
1333,2019,TG Southee,1
3,2008,A Nel,1
1335,2019,V Chakravarthy,1
1336,2019,V Shankar,1
462,2011,Y Nagar,1
57,2008,PM Sarvesh Kumar,1
521,2012,JD Ryder,1
131,2009,GR Napier,1
1124,2017,SS Agarwal,1
584,2012,TP Sudhindra,1
1140,2017,Yuvraj Singh,1
1138,2017,YK Pathan,1
120,2009,CH Gayle,1
392,2011,KMDN Kulasekara,1
1128,2017,Swapnil Singh,1
1119,2017,SK Raina,1
1232,2018,V Shankar,1
127,2009,DR Smith,1
599,2013,A Mithun,1
388,2011,JP Faulkner,1
601,2013,AA Chavan,1
604,2013,AB McDonald,1
605,2013,AC Gilchrist,1
1149,2018,Anureet Singh,1
111,2009,AM Rahane,1
397,2011,M Kartik,1
1164,2018,D Short,1
564,2012,RN ten Doeschate,1
92,2008,WA Mota,1
550,2012,PJ Sangwan,1
85,2008,TM Dilshan,1
1203,2018,Mohammad Nabi,1
75,2008,SK Raina,1
1209,2018,P Negi,1
71,2008,SB Joshi,1
69,2008,S Vidyut,1
535,2012,LR Shukla,1
433,2011,S Dhawan,1
64,2008,RG Sharma,1
525,2012,JP Duminy,1
1026,2016,TA Boult,1
1059,2017,CJ Jordan,1
937,2016,Ankit Sharma,1
250,2010,Iqbal Abdulla,1
866,2015,J Botha,1
835,2015,AN Ahmed,1
745,2014,GJ Maxwell,1
709,2013,SK Raina,1
199,2009,VRV Singh,1
868,2015,J Theron,1
681,2013,P Suyal,1
959,2016,HV Patel,1
903,2015,RG More,1
755,2014,JDS Neesham,1
758,2014,JO Holder,1
900,2015,R Tewatia,1
699,2013,RJ Harris,1
677,2013,NM Coulter-Nile,1
272,2010,MC Henriques,1
899,2015,R Dhawan,1
274,2010,MK Tiwary,1
761,2014,JW Hastings,1
675,2013,Mohammed Shami,1
201,2009,VY Mahesh,1
262,2010,KP Appanna,1
278,2010,ND Doshi,1
685,2013,PV Tambe,1
852,2015,DR Smith,1
731,2014,AD Russell,1
849,2015,DJ Hooda,1
336,2011,A Symonds,1
256,2010,JP Duminy,1
926,2015,Yuvraj Singh,1
928,2016,A Ashish Reddy,1
857,2015,GS Sandhu,1
859,2015,HH Pandya,1
212,2010,A Mithun,1
705,2013,S Ladda,1
846,2015,CJ Anderson,1
934,2016,AF Milne,1
912,2015,SN Thakur,1
724,2013,YK Pathan,1
736,2014,BCJ Cutting,1
686,2013,Parvez Rasool,1
907,2015,S Gopal,1
862,2015,I Sharma,1
277,2010,MS Gony,1
822,2014,VS Malik,1
796,2014,R Sharma,1
770,2014,LR Shukla,1
663,2013,LR Shukla,1
878,2015,Karanveer Singh,1
1002,2016,Parvez Rasool,1
303,2010,S Tyagi,1
1006,2016,R Sathish,1
795,2014,R Rampaul,1
769,2014,LMP Simmons,1
791,2014,Parvez Rasool,1
365,2011,DJ Hussey,1
787,2014,PJ Cummins,1
801,2014,RG Sharma,1
786,2014,P Suyal,1
324,2010,VS Malik,1
771,2014,M Kartik,1
327,2010,Y Nagar,1
887,2015,NLTC Perera,1
1020,2016,STR Binny,1
177,2009,RR Raje,1
716,2013,SW Tait,1
325,2010,VY Mahesh,1
997,2016,P Negi,1
918,2015,Shivam Sharma,1
718,2013,TL Suman,1
243,2010,DS Kulkarni,1
810,2014,SK Raina,1
329,2010,YA Abdulla,1
672,2013,MN Samuels,1
802,2014,RN ten Doeschate,1
892,2015,PJ Cummins,1
305,2010,SB Wagh,1
896,2015,Parvez Rasool,1
876,2015,KC Cariappa,1
190,2009,SS Sarkar,1
193,2009,T Henderson,1
242,2010,DR Smith,1
719,2013,TM Dilshan,0
425,2011,RG Sharma,0
321,2010,V Kohli,0
534,2012,LJ Wright,0
1246,2019,Avesh Khan,0
323,2010,VRV Singh,0
439,2011,S Sriram,0
509,2012,F du Plessis,0
1249,2019,BB Sran,0
1251,2019,Basil Thampi,0
441,2011,SB Styris,0
518,2012,J Syed Mohammad,0
239,2010,DJ Hussey,0
427,2011,RN ten Doeschate,0
60,2008,Pankaj Singh,0
245,2010,FY Fazal,0
721,2013,V Sehwag,0
527,2012,K Upadhyay,0
880,2015,M Vijay,0
532,2012,KP Pietersen,0
63,2008,RA Jadeja,0
1210,2018,PJ Sangwan,0
522,2012,JD Unadkat,0
1225,2018,STR Binny,0
881,2015,M de Lange,0
1236,2018,Yuvraj Singh,0
436,2011,S Rana,0
434,2011,S Ladda,0
871,2015,JD Unadkat,0
725,2013,YS Chahal,0
431,2011,RW Price,0
1024,2016,Swapnil Singh,0
1252,2019,C de Grandhomme,0
306,2010,SC Ganguly,0
825,2014,YK Pathan,0
824,2014,Y Venugopal Rao,0
1295,2019,Mandeep Singh,0
820,2014,V Shankar,0
818,2014,TG Southee,0
1304,2019,P R Barman,0
279,2010,NLTC Perera,0
16,2008,CL White,0
809,2014,SB Jakati,0
1309,2019,R Salam,0
808,2014,SA Yadav,0
15,2008,CK Kapugedera,0
807,2014,S Rana,0
1315,2019,S Dube,0
1254,2019,CR Brathwaite,0
459,2011,VS Malik,0
10,2008,Abdur Razzak,0
1320,2019,S Midhun,0
302,2010,S Sriram,0
1325,2019,SK Raina,0
1327,2019,SN Khan,0
4,2008,A Symonds,0
461,2011,Y Gnaneswara Rao,0
785,2014,P Negi,0
774,2014,M Vijay,0
298,2010,RS Gavaskar,0
470,2012,A Mithun,0
1339,2019,YK Pathan,0
271,2010,MB Parmar,0
482,2012,AG Murtaza,0
484,2012,AM Nayar,0
485,2012,AN Ahmed,0
851,2015,DJG Sammy,0
1256,2019,DJ Hooda,0
502,2012,DJ Harris,0
450,2011,STR Binny,0
1260,2019,H Brar,0
43,2008,LPC Silva,0
1262,2019,H Vihari,0
41,2008,K Goel,0
259,2010,K Goel,0
498,2012,CL White,0
261,2010,KAJ Roach,0
496,2012,CH Gayle,0
35,2008,Iqbal Abdulla,0
495,2012,Bipul Sharma,0
844,2015,CH Gayle,0
235,2010,CL White,0
318,2010,TL Suman,0
841,2015,BB Sran,0
454,2011,TL Suman,0
839,2015,Azhar Mahmood,0
315,2010,STR Binny,0
1281,2019,KC Cariappa,0
832,2015,AB Dinda,0
269,2010,M Morkel,0
486,2012,AUK Pathan,0
752,2014,Iqbal Abdulla,0
1286,2019,L Livingstone,0
544,2012,NLTC Perera,0
1183,2018,K Ahmed,0
420,2011,R Sathish,0
1080,2017,KA Pollard,0
968,2016,JD Unadkat,0
197,2009,V Kohli,0
615,2013,Ankit Sharma,0
974,2016,KA Pollard,0
142,2009,Jaskaran Singh,0
978,2016,KS Williamson,0
979,2016,KV Sharma,0
342,2011,AB McDonald,0
144,2009,K Goel,0
196,2009,TM Dilshan,0
1075,2017,J Yadav,0
350,2011,AS Raut,0
622,2013,BJ Hodge,0
1072,2017,IK Pathan,0
965,2016,J Suchith,0
962,2016,IK Pathan,0
680,2013,P Negi,0
198,2009,V Sehwag,0
1092,2017,MN Samuels,0
1094,2017,MS Gony,0
956,2016,GJ Maxwell,0
682,2013,PJ Sangwan,0
1098,2017,Mustafizur Rahman,0
954,2016,DW Steyn,0
608,2013,AD Russell,0
951,2016,DL Chahar,0
606,2013,AD Mascarenhas,0
345,2011,AJ Finch,0
948,2016,D Wiese,0
602,2013,AB Agarkar,0
943,2016,C Munro,0
1071,2017,I Sharma,0
623,2013,BJ Rohrer,0
984,2016,M Vijay,0
1045,2017,Ankit Sharma,0
175,2009,RR Bose,0
1029,2016,V Kohli,0
178,2009,RS Bopara,0
1033,2016,Yuvraj Singh,0
170,2009,RA Shaikh,0
1016,2016,SK Raina,0
639,2013,GJ Maxwell,0
1013,2016,S Ladda,0
651,2013,JDP Oram,0
1011,2016,S Gopal,0
1040,2017,AD Mathews,0
160,2009,Mashrafe Mortaza,0
637,2013,GB Hogg,0
635,2013,DT Christian,0
656,2013,K Upadhyay,0
151,2009,LRPL Taylor,0
1047,2017,Anureet Singh,0
157,2009,MK Tiwary,0
362,2011,DB Ravi Teja,0
1052,2017,BB Sran,0
999,2016,PJ Sangwan,0
630,2013,DJ Hussey,0
153,2009,M Morkel,0
354,2011,B Chipli,0
779,2014,MK Tiwary,0
993,2016,N Rana,0
189,2009,SR Tendulkar,0
353,2011,B Akhil,0
669,2013,MG Neser,0
351,2011,AUK Pathan,0
1110,2017,RA Tripathi,0
938,2016,Anureet Singh,0
1200,2018,MK Tiwary,0
568,2012,S Aravind,0
561,2012,RG Sharma,0
101,2009,A Mithun,0
228,2010,B Lee,0
227,2010,B Akhil,0
566,2012,RR Bhatkal,0
567,2012,RR Powar,0
1167,2018,DJ Hooda,0
339,2011,AA Kazi,0
107,2009,AB McDonald,0
463,2011,Y Venugopal Rao,0
707,2013,S Narwal,0
401,2011,MK Tiwary,0
1161,2018,CJ Jordan,0
908,2015,S Nadeem,0
1178,2018,J Dala,0
898,2015,R Bhatia,0
406,2011,NJ Rimmington,0
1182,2018,JP Duminy,0
373,2011,I Malhotra,0
407,2011,NL McCullum,0
894,2015,PP Ojha,0
557,2012,R Shukla,0
90,2008,VS Yeligati,0
411,2011,P Prasanth,0
415,2011,Pankaj Singh,0
891,2015,P Suyal,0
549,2012,PC Valthaty,0
1194,2018,M Lomror,0
328,2010,Y Venugopal Rao,0
232,2010,C Ganapathy,0
1197,2018,M Wood,0
909,2015,SA Abbott,0
225,2010,AN Ahmed,0
398,2011,M Manhas,0
922,2015,V Kohli,0
1116,2017,S Kaushik,0
692,2013,R Sathish,0
1118,2017,SB Jakati,0
390,2011,Joginder Sharma,0
124,2009,DJ Hussey,0
338,2011,AA Jhunjhunwala,0
593,2012,Y Venugopal Rao,0
592,2012,Y Nagar,0
216,2010,AA Jhunjhunwala,0
1127,2017,Shakib Al Hasan,0
337,2011,AA Chavan,0
588,2012,V Sehwag,0
393,2011,Kamran Khan,0
1134,2017,Tejas Baroka,0
220,2010,AC Voges,0
109,2009,AD Mathews,0
586,2012,V Kohli,0
698,2013,RG Sharma,0
394,2011,L Ablish,0
1142,2018,A Dananjaya,0
583,2012,TM Dilshan,0
700,2013,RN ten Doeschate,0
113,2009,AS Raut,0
582,2012,Sunny Gupta,0
396,2011,LRPL Taylor,0
1148,2018,Ankit Sharma,0
702,2013,RV Gomez,0
703,2013,S Badree,0
577,2012,SPD Smith,0
224,2010,AJ Finch,0
904,2015,RN ten Doeschate,0
